time,open,high,low,close,volume
2023-08-16T00:00:00.000Z,1901.47,1902.19,1900.97,1902.13,680
2023-08-16T00:15:00.000Z,1902.12,1902.48,1901.65,1901.7,468
2023-08-16T00:30:00.000Z,1901.69,1902.36,1901.37,1902.36,796
2023-08-16T00:45:00.000Z,1902.35,1902.51,1901.61,1902.24,610
2023-08-16T01:00:00.000Z,1902.26,1902.32,1901.23,1901.53,1218
2023-08-16T01:15:00.000Z,1901.6,1902.95,1900.52,1902.94,1751
2023-08-16T01:30:00.000Z,1902.92,1903.5,1902.36,1903.2,1815
2023-08-16T01:45:00.000Z,1903.23,1904.13,1902.58,1902.78,1654
2023-08-16T02:00:00.000Z,1902.75,1903.86,1902.49,1903.76,1465
2023-08-16T02:15:00.000Z,1903.77,1904.49,1903.71,1903.77,1016
2023-08-16T02:30:00.000Z,1903.77,1904.72,1903.67,1904.09,1208
2023-08-16T02:45:00.000Z,1904.1,1904.56,1903.77,1903.77,926
2023-08-16T03:00:00.000Z,1903.77,1904.77,1903.67,1904.63,995
2023-08-16T03:15:00.000Z,1904.62,1905.31,1904.4,1904.81,945
2023-08-16T03:30:00.000Z,1904.8,1904.87,1904.01,1904.28,603
2023-08-16T03:45:00.000Z,1904.27,1904.57,1904.01,1904.1,374
2023-08-16T04:00:00.000Z,1904.1,1904.6,1903.97,1903.97,417
2023-08-16T04:15:00.000Z,1903.97,1904.1,1903.39,1903.42,439
2023-08-16T04:30:00.000Z,1903.43,1903.74,1902.79,1903.41,428
2023-08-16T04:45:00.000Z,1903.4,1904.09,1903.14,1903.97,394
2023-08-16T05:00:00.000Z,1903.98,1905.05,1903.98,1904.32,739
2023-08-16T05:15:00.000Z,1904.31,1904.51,1903.46,1904.17,477
2023-08-16T05:30:00.000Z,1904.17,1905.42,1904.08,1905.1,903
2023-08-16T05:45:00.000Z,1905.09,1905.45,1904.36,1905.11,1384
2023-08-16T06:00:00.000Z,1905,1905.92,1904.66,1905.63,1554
2023-08-16T06:15:00.000Z,1905.62,1906.26,1905.34,1906.25,1236
2023-08-16T06:30:00.000Z,1906.24,1906.55,1905.88,1906.48,1342
